domain,videoId,commentId,lang_bucket,lang_conf,sim_top1_aff,sim_top2_aff,sim_margin_aff,sent_model_id,emo_model_id,tox_model_id,sent_pos,sent_neg,sent_neu,sent_top_label,sent_top_score,sent_reason,tox_score,tox_top_label,tox_top_score,tox_reason,emo_top_label,emo_top_score,emo_entropy,score_ok,sim_top1_align,sim_top2_align,sim_margin_align,aligned_keep,valence,polarity,coupling_sim,coupling_margin,negativity,conflict_proxy,sarcasm_like,weight_sarcasm
indo,Q4l8cBO0i0Q,UgybfGNU22Eo08ZYiBd4AaABAg.9t9gi8lQbGO9t9lJ93L2AE,id,0.5,0.65934503,0.4916743,0.16767073,w11wo/indonesian-roberta-base-sentiment-classifier,StevenLimcorn/indonesian-roberta-base-emotion-classifier,unitary/multilingual-toxic-xlm-roberta,0.6707419753074646,0.2951189875602722,0.034139037,positive,0.670742,,0.42637333273887634,toxic,0.42637333,,happy,0.8983907,0.46336204,True,0.65934503,0.4916743,0.16767073,True,0.3756229877471924,0.3756229877471924,0.6593450307846069,0.16767072677612305,0.1560942530632019,0.04181598119286246,0,1.0
indo,Q4l8cBO0i0Q,Ugw5kR30daSB2ovxLoR4AaABAg,other,0.2,0.68926895,0.56832194,0.120947,cardiffnlp/twitter-xlm-roberta-base-sentiment,AnasAlokla/multilingual_go_emotions_V1.1,unitary/multilingual-toxic-xlm-roberta,0.4739965498447418,0.28985586762428284,0.23614755,positive,0.47399655,,0.03686397150158882,toxic,0.03686397,,neutral,0.34657705,3.140836,True,0.68926895,0.56832194,0.120947,True,0.18414068222045898,0.18414068222045898,0.689268946647644,0.12094700336456299,0.20396482944488525,0.01947138404974698,0,1.0
indo,Q4l8cBO0i0Q,UgwziqP1zJAXogBCHVh4AaABAg,other,0.2,0.7002809,0.55345964,0.14682126,cardiffnlp/twitter-xlm-roberta-base-sentiment,AnasAlokla/multilingual_go_emotions_V1.1,unitary/multilingual-toxic-xlm-roberta,0.5461243391036987,0.15246576070785522,0.30140987,positive,0.54612434,,0.03400930017232895,toxic,0.0340093,,admiration,0.14692977,3.2912807,True,0.7002809,0.55345964,0.14682126,True,0.3936585783958435,0.3936585783958435,0.7002809047698975,0.1468212604522705,0.15158535540103912,0.030851154124131325,0,1.0
indo,Q4l8cBO0i0Q,UgyiI7VlxSpeFt4mbrV4AaABAg,id,1.0,0.70900214,0.5639175,0.14508462,w11wo/indonesian-roberta-base-sentiment-classifier,StevenLimcorn/indonesian-roberta-base-emotion-classifier,unitary/multilingual-toxic-xlm-roberta,0.013049748726189137,0.909842848777771,0.07710742,negative,0.90984285,,0.08315709233283997,toxic,0.08315709,,happy,0.32227558,1.4614493,True,0.70900214,0.5639175,0.14508462,True,-0.8967931000515819,0.8967931000515819,0.7090021371841431,0.14508461952209473,0.47419827501289546,0.2303104691644154,0,1.0
indo,Q4l8cBO0i0Q,UgybfGNU22Eo08ZYiBd4AaABAg.9t9gi8lQbGO9t9hbzAHOQ0,other,0.2,0.6719943,0.4633441,0.20865023,cardiffnlp/twitter-xlm-roberta-base-sentiment,AnasAlokla/multilingual_go_emotions_V1.1,unitary/multilingual-toxic-xlm-roberta,0.07018781453371048,0.7550951242446899,0.17471707,negative,0.7550951,,0.2838152050971985,toxic,0.2838152,,annoyance,0.92217284,2.629009,True,0.6719943,0.4633441,0.20865023,True,-0.6849073097109795,0.6849073097109795,0.6719943284988403,0.20865023136138916,0.42122682742774487,0.18519119909543608,0,1.0
indo,Q4l8cBO0i0Q,UgzpG0qHHDxMPOdeP7x4AaABAg,id,1.0,0.62912834,0.4720865,0.15704185,w11wo/indonesian-roberta-base-sentiment-classifier,StevenLimcorn/indonesian-roberta-base-emotion-classifier,unitary/multilingual-toxic-xlm-roberta,0.0007178112282417715,0.9874091148376465,0.011873064,negative,0.9874091,,0.01123037189245224,toxic,0.011230372,,anger,0.8526627,0.6166375,True,0.62912834,0.4720865,0.15704185,True,-0.9866913036094047,0.9866913036094047,0.6291283369064331,0.15704184770584106,0.4966728259023512,0.24778317254028914,0,1.0
indo,Q4l8cBO0i0Q,UgyhdYzReO5jOMkD9v14AaABAg,id,1.0,0.7044985,0.42480904,0.2796895,w11wo/indonesian-roberta-base-sentiment-classifier,StevenLimcorn/indonesian-roberta-base-emotion-classifier,unitary/multilingual-toxic-xlm-roberta,0.04522190988063812,0.9368607997894287,0.01791731,negative,0.93686074,,0.5987930297851562,toxic,0.598793,,anger,0.41223943,1.433103,True,0.7044985,0.42480904,0.2796895,True,-0.8916388899087906,0.8916388899087906,0.7044985294342041,0.2796894907951355,0.47290972247719765,0.3370772916145528,0,1.0
indo,Q4l8cBO0i0Q,Ugxtw3E1x3PH69bS4EF4AaABAg,other,0.2,0.6693519,0.46592128,0.2034306,cardiffnlp/twitter-xlm-roberta-base-sentiment,AnasAlokla/multilingual_go_emotions_V1.1,unitary/multilingual-toxic-xlm-roberta,0.7173898220062256,0.11731287091970444,0.16529731,positive,0.71738976,,0.3142912983894348,toxic,0.3142913,,sadness,0.12407046,3.294052,True,0.6693519,0.46592128,0.2034306,True,0.6000769510865211,0.6000769510865211,0.6693518757820129,0.20343059301376343,0.09998076222836971,0.03942620957528062,0,1.0
indo,Q4l8cBO0i0Q,UgyU3iKj4mZ-rxCI34x4AaABAg,id,0.9428571428571428,0.7662611,0.5278611,0.23839998,w11wo/indonesian-roberta-base-sentiment-classifier,StevenLimcorn/indonesian-roberta-base-emotion-classifier,unitary/multilingual-toxic-xlm-roberta,0.002452659420669079,0.9966055750846863,0.0009417893,negative,0.9966055,,0.2526376247406006,toxic,0.25263762,,fear,0.39661852,1.215533,True,0.7662611,0.5278611,0.23839998,True,-0.9941529156640172,0.9941529156640172,0.766261100769043,0.23839998245239258,0.4985382289160043,0.3104181552060685,1,0.5
indo,Q4l8cBO0i0Q,Ugxs9Kr10x6e35qs_bB4AaABAg,id,1.0,0.6173102,0.47231403,0.1449962,w11wo/indonesian-roberta-base-sentiment-classifier,StevenLimcorn/indonesian-roberta-base-emotion-classifier,unitary/multilingual-toxic-xlm-roberta,0.00029052994796074927,0.9992942810058594,0.00041518445,negative,0.9992943,,0.32898685336112976,toxic,0.32898685,,anger,0.9638833,0.19763833,True,0.6173102,0.47231403,0.1449962,True,-0.9990037510578986,0.9990037510578986,0.6173102259635925,0.14499619603157043,0.49975093776447466,0.331750377564677,0,1.0
